Tanggal,Stock Code,Close,Volume,Offer Volume,Bid Volume,Foreign Sell,Foreign Buy,Kurs
10/3/2018,AALI,14325 ,778500 ,200 ,1800 ,7500 ,415200 ,13837 
10/3/2018,ABBA,51 ,10621300 ,11000 ,1023800 ,0 ,0 ,13837 
10/3/2018,ABDA,7500 ,0 ,3900 ,0 ,0 ,0 ,13837 
10/3/2018,ABMM,2150 ,0 ,2700 ,500 ,0 ,0 ,13837 
10/3/2018,ACES,1355 ,10316300 ,612400 ,45300 ,7019700 ,4854800 ,13837 
10/3/2018,ACST,2920 ,2066400 ,200 ,115300 ,444800 ,716500 ,13837 
10/3/2018,ADES,930 ,18200 ,700 ,300 ,0 ,0 ,13837 
10/3/2018,ADHI,2380 ,5867100 ,102500 ,129000 ,170800 ,375900 ,13837 
10/3/2018,ADMF,9150 ,38400 ,10500 ,900 ,7700 ,11900 ,13837 
10/3/2018,ADMG,296 ,1084700 ,16100 ,103500 ,50000 ,0 ,13837 
10/3/2018,ADRO,2220 ,82249500 ,455800 ,550600 ,10867400 ,32441500 ,13837 
10/3/2018,AGII,780 ,870800 ,18200 ,12800 ,475500 ,761000 ,13837 
10/3/2018,AGRO,530 ,34371200 ,99000 ,275500 ,600000 ,0 ,13837 
10/3/2018,AGRS,685 ,326200 ,9100 ,200 ,10000 ,25000 ,13837 
10/3/2018,AHAP,164 ,13100 ,6000 ,7100 ,0 ,0 ,13837 
10/3/2018,AIMS,304 ,500 ,5000 ,300 ,0 ,0 ,13837 
10/3/2018,AISA,600 ,64976800 ,1278900 ,1073400 ,215400 ,2957600 ,13837 
10/3/2018,AKKU,54 ,7157800 ,75500 ,388200 ,0 ,0 ,13837 
10/3/2018,AKPI,700 ,1000 ,3800 ,1000 ,0 ,0 ,13837 
10/3/2018,AKRA,5775 ,8347000 ,335600 ,82200 ,2754400 ,592300 ,13837 
10/3/2018,AKSI,312 ,0 ,13200 ,6000 ,0 ,0 ,13837 
10/3/2018,ALDO,680 ,0 ,1300 ,3100 ,0 ,0 ,13837 
10/3/2018,ALKA,446 ,15000 ,2700 ,500 ,0 ,0 ,13837 
10/3/2018,ALMI,234 ,10500 ,45100 ,100 ,0 ,0 ,13837 
10/3/2018,ALTO,372 ,24938300 ,100 ,254900 ,0 ,1000 ,13837 
10/3/2018,AMAG,376 ,100 ,2300 ,1000 ,0 ,0 ,13837 
10/3/2018,AMFG,5400 ,3200 ,52000 ,900 ,0 ,0 ,13837 
10/3/2018,AMIN,376 ,0 ,1000 ,100 ,0 ,0 ,13837 
10/3/2018,AMRT,595 ,2700 ,34400 ,1000 ,2400 ,0 ,13837 
10/3/2018,ANJT,1360 ,171800 ,35100 ,2700 ,0 ,0 ,13837 
10/3/2018,ANTM,900 ,57585600 ,9560500 ,2030900 ,5418400 ,9511700 ,13837 
10/3/2018,APEX,1780 ,86600 ,2500 ,1000 ,0 ,0 ,13837 
10/3/2018,APIC,520 ,11400 ,334600 ,194800 ,0 ,0 ,13837 
10/3/2018,APII,204 ,100 ,100 ,6000 ,0 ,0 ,13837 
10/3/2018,APLI,105 ,150500 ,238500 ,23600 ,0 ,0 ,13837 
10/3/2018,APLN,226 ,13269400 ,446500 ,757200 ,148700 ,247500 ,13837 
10/3/2018,APOL,58 ,0 ,0 ,0 ,0 ,0 ,13837 
10/3/2018,ARGO,825 ,0 ,0 ,50000 ,0 ,0 ,13837 
10/3/2018,ARII,1250 ,414100 ,14800 ,500 ,0 ,142800 ,13837 
10/3/2018,ARMY,382 ,43206300 ,49800 ,5085400 ,140000 ,0 ,13837 
10/3/2018,ARNA,338 ,273500 ,118700 ,32800 ,13600 ,0 ,13837 
10/3/2018,ARTA,282 ,5600 ,1200 ,2800 ,0 ,0 ,13837 
10/3/2018,ARTI,50 ,13200 ,115134100 ,0 ,0 ,0 ,13837 
10/3/2018,ARTO,197 ,7700 ,1900 ,1500 ,0 ,0 ,13837 
10/3/2018,ASBI,304 ,57700 ,29400 ,900 ,0 ,19200 ,13837 
10/3/2018,ASDM,1150 ,0 ,2300 ,200 ,0 ,0 ,13837 
10/3/2018,ASGR,1500 ,1209200 ,5000 ,39500 ,0 ,246700 ,13837 
10/3/2018,ASII,7800 ,34352400 ,445300 ,483500 ,30074800 ,22632600 ,13837 
10/3/2018,ASJT,400 ,16100 ,36200 ,100 ,0 ,0 ,13837 
10/3/2018,ASMI,860 ,1398600 ,60500 ,20900 ,0 ,600 ,13837 
10/3/2018,ASRI,386 ,10579000 ,100100 ,2561900 ,303700 ,3766600 ,13837 
10/3/2018,ASRM,2350 ,0 ,100 ,100 ,0 ,0 ,13837 
10/3/2018,ASSA,284 ,2239400 ,111800 ,5500 ,0 ,0 ,13837 
10/3/2018,ATIC,775 ,43300 ,3300 ,1500 ,100 ,0 ,13837 
10/3/2018,ATPK,194 ,0 ,0 ,0 ,0 ,0 ,13837 
10/3/2018,AUTO,1720 ,3662000 ,373200 ,56500 ,2094400 ,252400 ,13837 
10/3/2018,BABP,51 ,41353100 ,2269500 ,9456100 ,0 ,0 ,13837 
10/3/2018,BACA,284 ,71100 ,196600 ,1200 ,0 ,0 ,13837 
10/3/2018,BAJA,166 ,464300 ,1800 ,27500 ,0 ,22500 ,13837 
10/3/2018,BALI,1440 ,153300 ,7900 ,2500 ,0 ,0 ,13837 
10/3/2018,BAPA,93 ,67372500 ,181200 ,133500 ,0 ,72000 ,13837 
10/3/2018,BATA,605 ,11600 ,800 ,3000 ,0 ,2700 ,13837 
10/3/2018,BAYU,1590 ,0 ,2500 ,10000 ,0 ,0 ,13837 
10/3/2018,BBCA,23625 ,22236100 ,2131100 ,208300 ,7296100 ,15212700 ,13837 
10/3/2018,BBHI,197 ,4136800 ,68300 ,46200 ,0 ,0 ,13837 
10/3/2018,BBKP,625 ,9974500 ,719700 ,206600 ,819900 ,4078500 ,13837 
10/3/2018,BBLD,610 ,3400 ,7000 ,200 ,0 ,0 ,13837 
10/3/2018,BBMD,1585 ,0 ,204400 ,100 ,0 ,0 ,13837 
10/3/2018,BBNI,9350 ,11372300 ,500 ,599600 ,7220300 ,5422700 ,13837 
10/3/2018,BBNP,2200 ,0 ,0 ,100 ,0 ,0 ,13837 
