Tanggal,Stock Code,Close,Volume,Offer Volume,Bid Volume,Foreign Sell,Foreign Buy,Kurs
13,AALI,14000 ,1210000 ,148200 ,50500 ,43000 ,347300 ,13826 
13,ABBA,50 ,4662300 ,2600 ,1380800 ,0 ,0 ,13826 
13,ABDA,7500 ,0 ,4000 ,0 ,0 ,0 ,13826 
13,ABMM,2150 ,0 ,2700 ,300 ,0 ,0 ,13826 
13,ACES,1380 ,23175300 ,184200 ,17200 ,12079300 ,5155500 ,13826 
13,ACST,2930 ,1044600 ,122800 ,26100 ,250000 ,239000 ,13826 
13,ADES,925 ,1500 ,500 ,3300 ,0 ,0 ,13826 
13,ADHI,2290 ,15393200 ,4000 ,174700 ,2062200 ,530400 ,13826 
13,ADMF,9150 ,2400 ,4300 ,100 ,0 ,0 ,13826 
13,ADMG,286 ,3206000 ,5000 ,261000 ,0 ,0 ,13826 
13,ADRO,2170 ,87487400 ,307800 ,320400 ,15086100 ,39646000 ,13826 
13,AGII,790 ,194900 ,71100 ,10100 ,16700 ,130000 ,13826 
13,AGRO,500 ,61363000 ,1893900 ,1410200 ,400 ,317100 ,13826 
13,AGRS,650 ,1507700 ,5000 ,163600 ,0 ,11000 ,13826 
13,AHAP,175 ,16100 ,1000 ,100 ,0 ,0 ,13826 
13,AIMS,304 ,1200 ,100 ,1400 ,100 ,0 ,13826 
13,AISA,585 ,145208800 ,1912700 ,1284500 ,217500 ,412200 ,13826 
13,AKKU,53 ,4979000 ,1461000 ,1689700 ,0 ,0 ,13826 
13,AKPI,700 ,0 ,2900 ,100 ,0 ,0 ,13826 
13,AKRA,5850 ,7965800 ,187200 ,800 ,4010600 ,4039800 ,13826 
13,AKSI,296 ,3400 ,5400 ,1500 ,0 ,0 ,13826 
13,ALDO,680 ,100 ,1900 ,3100 ,0 ,0 ,13826 
13,ALKA,420 ,13400 ,1800 ,100 ,0 ,0 ,13826 
13,ALMI,234 ,0 ,4500 ,42500 ,0 ,0 ,13826 
13,ALTO,390 ,32985700 ,68500 ,1800 ,500 ,103900 ,13826 
13,AMAG,376 ,0 ,2400 ,2000 ,0 ,0 ,13826 
13,AMFG,5400 ,200 ,200000 ,3600 ,0 ,100 ,13826 
13,AMIN,400 ,106300 ,11700 ,100 ,70000 ,49600 ,13826 
13,AMRT,575 ,19100 ,1600 ,10400 ,2200 ,0 ,13826 
