Tanggal,Stock Code,Close,Volume,Offer Volume,Bid Volume,Foreign Sell,Foreign Buy,Kurs
14,AALI,13750 ,1165300 ,1100 ,35500 ,294200 ,135500 ,13808 
14,ABBA,52 ,166300 ,100 ,1165900 ,0 ,0 ,13808 
14,ABDA,7500 ,0 ,1100 ,0 ,0 ,0 ,13808 
14,ABMM,2140 ,500 ,2800 ,500 ,0 ,0 ,13808 
14,ACES,1365 ,4644000 ,145000 ,310500 ,3817300 ,895300 ,13808 
14,ACST,2930 ,2288800 ,63000 ,147000 ,437000 ,378400 ,13808 
14,ADES,925 ,2100 ,200 ,500 ,0 ,0 ,13808 
14,ADHI,2210 ,9722100 ,52300 ,708500 ,10600 ,63900 ,13808 
14,ADMF,9200 ,448900 ,600 ,1800 ,3800 ,10300 ,13808 
14,ADMG,290 ,1979000 ,12600 ,314000 ,0 ,0 ,13808 
14,ADRO,2070 ,65089500 ,413400 ,2566200 ,30276500 ,15834700 ,13808 
14,AGII,790 ,4316900 ,11600 ,6000 ,4139000 ,4205600 ,13808 
14,AGRO,480 ,56647400 ,331400 ,529200 ,700 ,186900 ,13808 
14,AGRS,685 ,1102000 ,14400 ,3500 ,98400 ,0 ,13808 
14,AHAP,170 ,55000 ,45000 ,50000 ,0 ,0 ,13808 
14,AIMS,320 ,300 ,100 ,1000 ,0 ,0 ,13808 
14,AISA,645 ,385123900 ,3025000 ,7038200 ,3492800 ,26771000 ,13808 
14,AKKU,53 ,5269200 ,119900 ,1063300 ,0 ,0 ,13808 
14,AKPI,700 ,0 ,3600 ,100 ,0 ,0 ,13808 
14,AKRA,5750 ,6989800 ,22600 ,20300 ,2962300 ,2812100 ,13808 
14,AKSI,298 ,1500 ,500 ,200 ,0 ,0 ,13808 
14,ALDO,680 ,0 ,100 ,3100 ,0 ,0 ,13808 
14,ALKA,450 ,2900 ,3400 ,100 ,0 ,0 ,13808 
14,ALMI,228 ,4400 ,3900 ,100 ,0 ,0 ,13808 
14,ALTO,368 ,387700 ,2400 ,100 ,0 ,17200 ,13808 
14,AMAG,356 ,460500 ,1600 ,80300 ,440000 ,458900 ,13808 
14,AMFG,5400 ,100 ,500 ,4600 ,0 ,0 ,13808 
14,AMIN,376 ,600 ,100 ,19800 ,0 ,0 ,13808 
14,AMRT,580 ,5000 ,29000 ,2200 ,0 ,0 ,13808 
14,ANJT,1210 ,120000 ,500 ,3500 ,0 ,0 ,13808 
14,ANTM,880 ,27065400 ,8754400 ,4022100 ,1684200 ,3268900 ,13808 
14,APEX,1780 ,87700 ,3300 ,1000 ,0 ,0 ,13808 
14,APIC,520 ,0 ,218400 ,253700 ,0 ,0 ,13808 
14,APII,200 ,0 ,1900 ,300 ,0 ,0 ,13808 
14,APLI,105 ,260000 ,155200 ,52100 ,0 ,0 ,13808 
14,APLN,222 ,3716000 ,442200 ,376700 ,0 ,0 ,13808 
14,APOL,58 ,0 ,0 ,0 ,0 ,0 ,13808 
14,ARGO,825 ,0 ,0 ,50000 ,0 ,0 ,13808 
14,ARII,1130 ,88300 ,6600 ,1000 ,0 ,0 ,13808 
14,ARMY,374 ,49852200 ,262600 ,45900 ,0 ,0 ,13808 
14,ARNA,326 ,1038600 ,15000 ,142900 ,14800 ,0 ,13808 
14,ARTA,280 ,27100 ,5000 ,191800 ,0 ,0 ,13808 
14,ARTI,50 ,17600 ,155920100 ,0 ,0 ,0 ,13808 
14,ARTO,196 ,1700 ,1100 ,700 ,0 ,0 ,13808 
14,ASBI,300 ,72500 ,1600 ,31100 ,0 ,0 ,13808 
14,ASDM,1150 ,0 ,2800 ,1500 ,0 ,0 ,13808 
14,ASGR,1545 ,722600 ,65900 ,1700 ,2400 ,176000 ,13808 
14,ASII,7575 ,25878500 ,100 ,910900 ,22041600 ,12851000 ,13808 
14,ASJT,380 ,10000 ,1000 ,1800 ,0 ,0 ,13808 
14,ASMI,835 ,1230400 ,65100 ,35900 ,0 ,0 ,13808 
14,ASRI,380 ,5485000 ,973700 ,1135800 ,320500 ,1581000 ,13808 
14,ASRM,2500 ,300 ,700 ,100 ,0 ,0 ,13808 
14,ASSA,272 ,1316000 ,66000 ,58300 ,270700 ,0 ,13808 
14,ATIC,770 ,8100 ,3500 ,2100 ,0 ,0 ,13808 
14,ATPK,194 ,0 ,0 ,0 ,0 ,0 ,13808 
14,AUTO,1675 ,1173000 ,76500 ,6200 ,69300 ,6400 ,13808 
14,BABP,50 ,2396700 ,9665200 ,7066500 ,0 ,0 ,13808 
14,BACA,282 ,112400 ,193100 ,109800 ,0 ,0 ,13808 
14,BAJA,164 ,775000 ,17500 ,52000 ,0 ,0 ,13808 
14,BALI,1435 ,414500 ,38000 ,5400 ,0 ,0 ,13808 
14,BAPA,93 ,157000 ,92200 ,99700 ,0 ,13000 ,13808 
14,BATA,620 ,32300 ,900 ,200 ,8800 ,6800 ,13808 
14,BAYU,1590 ,0 ,2500 ,10000 ,0 ,0 ,13808 
14,BBCA,23400 ,10901100 ,1727600 ,9200 ,8291700 ,5810000 ,13808 
14,BBHI,190 ,828800 ,3800 ,41300 ,0 ,0 ,13808 
14,BBKP,615 ,5097300 ,647800 ,153300 ,328900 ,106100 ,13808 
14,BBLD,605 ,1100 ,3100 ,2000 ,0 ,0 ,13808 
14,BBMD,1600 ,1100 ,0 ,1000 ,0 ,0 ,13808 
14,BBNI,9450 ,14121900 ,1639600 ,7000 ,7260700 ,10295000 ,13808 
14,BBNP,2200 ,0 ,0 ,100 ,0 ,0 ,13808 
14,BBRI,3750 ,58574900 ,4863700 ,15300 ,43328500 ,33794600 ,13808 
14,BBRM,68 ,3930300 ,170600 ,16000 ,0 ,0 ,13808 
14,BBTN,3680 ,8725600 ,36200 ,418000 ,6860500 ,2634900 ,13808 
14,BBYB,342 ,2918400 ,77000 ,6000 ,0 ,0 ,13808 
14,BCAP,1540 ,0 ,3700 ,0 ,0 ,0 ,13808 
14,BCIC,50 ,0 ,0 ,0 ,0 ,0 ,13808 
14,BCIP,150 ,71649500 ,764600 ,1814800 ,94800 ,40000 ,13808 
14,BDMN,7025 ,1897200 ,51800 ,101700 ,748800 ,991300 ,13808 
14,BEKS,50 ,757500 ,151318400 ,0 ,0 ,0 ,13808 
14,BELL,220 ,1183700 ,1575000 ,32000 ,0 ,0 ,13808 
14,BEST,278 ,4218500 ,10000 ,1256300 ,75300 ,3200 ,13808 
14,BFIN,840 ,5309900 ,459500 ,10000 ,3069600 ,4950000 ,13808 
14,BGTG,119 ,20853400 ,1481300 ,9387300 ,0 ,50000 ,13808 
14,BHIT,114 ,2334300 ,246600 ,778700 ,196600 ,0 ,13808 
14,BIKA,316 ,16500 ,300 ,200 ,0 ,0 ,13808 
14,BIMA,80 ,55800 ,1300 ,100 ,0 ,0 ,13808 
14,BINA,500 ,21164600 ,46700 ,175300 ,1000 ,120100 ,13808 
14,BIPI,86 ,53550800 ,278200 ,3651900 ,275200 ,626900 ,13808 
14,BIPP,78 ,274900 ,121200 ,151200 ,0 ,0 ,13808 
14,BIRD,3020 ,720400 ,400 ,4500 ,222600 ,0 ,13808 
14,BISI,1780 ,100000 ,266100 ,300 ,0 ,0 ,13808 
14,BJBR,2160 ,15504100 ,71500 ,900 ,101300 ,2635100 ,13808 
14,BJTM,695 ,12153800 ,37900 ,4342600 ,6303300 ,3693700 ,13808 
14,BKDP,87 ,18200 ,200 ,500 ,0 ,0 ,13808 
14,BKSL,228 ,504224800 ,8948100 ,13536900 ,33103200 ,156328500 ,13808 
14,BKSW,212 ,1700 ,10000 ,15300 ,0 ,0 ,13808 
14,BLTA,196 ,0 ,0 ,0 ,0 ,0 ,13808 
14,BLTZ,9450 ,300 ,100 ,100 ,0 ,0 ,13808 
14,BMAS,328 ,4300 ,200 ,500 ,0 ,0 ,13808 
14,BMRI,8200 ,20998500 ,5718900 ,100 ,14109100 ,6869200 ,13808 
14,BMSR,165 ,173400 ,7500 ,6600 ,3500 ,0 ,13808 
14,BMTR,600 ,53776800 ,21900 ,111300 ,48398700 ,50919900 ,13808 
14,BNBA,270 ,628900 ,2200 ,2000 ,0 ,396800 ,13808 
14,BNBR,50 ,256400 ,2676382600 ,0 ,0 ,0 ,13808 
14,BNGA,1325 ,1433700 ,181500 ,225000 ,3400 ,6800 ,13808 
14,BNII,280 ,549100 ,42900 ,289000 ,141200 ,71000 ,13808 
14,BNLI,615 ,9432100 ,145500 ,13200 ,6348200 ,3552100 ,13808 
14,BOGA,585 ,2005200 ,23400 ,206900 ,0 ,0 ,13808 
14,BOLT,900 ,131000 ,62500 ,35000 ,0 ,0 ,13808 
14,BORN,50 ,0 ,0 ,0 ,0 ,0 ,13808 
14,BOSS,2200 ,5076600 ,25600 ,80200 ,38000 ,32000 ,13808 
14,BPFI,940 ,13000 ,7200 ,100 ,0 ,0 ,13808 
14,BPII,5950 ,0 ,100 ,100 ,0 ,0 ,13808 
14,BRAM,7625 ,0 ,500 ,100 ,0 ,0 ,13808 
14,BRMS,86 ,297174200 ,4659500 ,18708200 ,6533700 ,78141300 ,13808 
14,BRNA,1190 ,500 ,14600 ,2400 ,0 ,0 ,13808 
14,BRPT,2490 ,21618900 ,4000 ,1698800 ,7855600 ,6240400 ,13808 
14,BSDE,1720 ,13105900 ,42200 ,545100 ,6723400 ,5556100 ,13808 
14,BSIM,690 ,200 ,1100 ,2600 ,0 ,0 ,13808 
14,BSSR,2500 ,1500 ,1100 ,1000 ,0 ,0 ,13808 
14,BSWD,1750 ,0 ,0 ,0 ,0 ,0 ,13808 
14,BTEK,126 ,272100 ,12700 ,20000 ,0 ,0 ,13808 
14,BTEL,50 ,0 ,403164000 ,0 ,0 ,0 ,13808 
14,BTON,148 ,24800 ,4900 ,67900 ,0 ,0 ,13808 
14,BTPN,3400 ,370600 ,25600 ,4400 ,225600 ,2900 ,13808 
14,BUDI,105 ,1549700 ,29900 ,236500 ,200 ,0 ,13808 
14,BUKK,1810 ,0 ,13200 ,2000 ,0 ,0 ,13808 
14,BULL,186 ,47042900 ,276200 ,216700 ,0 ,95100 ,13808 
14,BUMI,280 ,375737900 ,5150800 ,16431600 ,19376200 ,24293000 ,13808 
14,BUVA,540 ,9600 ,100 ,100 ,0 ,0 ,13808 
14,BVIC,240 ,552800 ,56600 ,272400 ,0 ,20000 ,13808 
14,BWPT,218 ,18656500 ,2321600 ,991800 ,250700 ,767100 ,13808 
14,BYAN,10750 ,500 ,3500 ,1500 ,500 ,0 ,13808 
14,CAMP,550 ,1463800 ,6200 ,146600 ,0 ,320300 ,13808 
14,CANI,318 ,600 ,2100 ,100 ,0 ,0 ,13808 
14,CARS,1560 ,147400 ,8600 ,7500 ,100 ,0 ,13808 
14,CASA,300 ,238900 ,29700 ,112100 ,57900 ,0 ,13808 
14,CASS,700 ,2600 ,497400 ,3000 ,0 ,0 ,13808 
14,CEKA,1400 ,10000 ,200 ,1500 ,0 ,0 ,13808 
14,CENT,90 ,1675100 ,30700 ,50600 ,0 ,0 ,13808 
14,CFIN,330 ,2255900 ,5500 ,246400 ,591700 ,1639000 ,13808 
14,CINT,330 ,5884100 ,96200 ,5800 ,25000 ,10800 ,13808 
14,CITA,570 ,0 ,5000 ,1200 ,0 ,0 ,13808 
14,CKRA,78 ,371600 ,41400 ,26500 ,0 ,0 ,13808 
14,CLEO,945 ,2468500 ,3700 ,26900 ,0 ,0 ,13808 
14,CLPI,900 ,110100 ,100 ,100 ,0 ,50000 ,13808 
14,CMNP,1485 ,14900 ,1000 ,200 ,600 ,700 ,13808 
14,CMPP,320 ,371000 ,6600 ,100 ,0 ,0 ,13808 
14,CNKO,50 ,25200 ,35547700 ,0 ,0 ,0 ,13808 
14,CNTB,250 ,0 ,0 ,0 ,0 ,0 ,13808 
14,CNTX,480 ,6200 ,800 ,5000 ,0 ,1000 ,13808 
14,COWL,780 ,1646000 ,8200 ,13900 ,0 ,0 ,13808 
14,CPIN,3590 ,6264600 ,686000 ,2900 ,1291100 ,5740300 ,13808 
14,CPRO,50 ,100 ,106381700 ,0 ,0 ,0 ,13808 
14,CSAP,490 ,600 ,100 ,109500 ,0 ,0 ,13808 
