Tanggal,Stock Code,Close,Volume,Offer Volume,Bid Volume,Foreign Sell,Foreign Buy,Kurs
9/3/2018,BBRM,67 ,9281800 ,211800 ,15400 ,0 ,0 ,13863 
9/3/2018,BBTN,3750 ,8222300 ,965500 ,4300 ,4299500 ,4301500 ,13863 
9/3/2018,BBYB,326 ,4918400 ,88900 ,10000 ,50000 ,0 ,13863 
9/3/2018,BCAP,1540 ,0 ,9900 ,0 ,0 ,0 ,13863 
9/3/2018,BCIC,50 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,BCIP,145 ,29756700 ,476000 ,212500 ,0 ,70900 ,13863 
9/3/2018,BDMN,6500 ,2630800 ,215700 ,100 ,1968900 ,2352800 ,13863 
9/3/2018,BEKS,50 ,885000 ,176549900 ,0 ,0 ,0 ,13863 
9/3/2018,BELL,216 ,6866600 ,1159800 ,383100 ,0 ,0 ,13863 
9/3/2018,BEST,280 ,18356200 ,280400 ,514400 ,2059400 ,2339800 ,13863 
9/3/2018,BFIN,820 ,160400 ,3000 ,143600 ,20400 ,50000 ,13863 
9/3/2018,BGTG,126 ,235606000 ,839900 ,1542500 ,5000000 ,2700000 ,13863 
9/3/2018,BHIT,114 ,6611600 ,387100 ,47200 ,206000 ,1342200 ,13863 
9/3/2018,BIKA,318 ,10500 ,32000 ,9800 ,0 ,0 ,13863 
9/3/2018,BIMA,86 ,0 ,22900 ,2000 ,0 ,0 ,13863 
9/3/2018,BINA,610 ,15334000 ,3100 ,78800 ,106100 ,268700 ,13863 
9/3/2018,BIPI,86 ,35134400 ,1784800 ,3435000 ,1975500 ,847800 ,13863 
9/3/2018,BIPP,77 ,20400 ,7700 ,2100 ,0 ,0 ,13863 
9/3/2018,BIRD,3110 ,210900 ,10600 ,2700 ,104500 ,189600 ,13863 
9/3/2018,BISI,1790 ,326100 ,149400 ,51000 ,0 ,110000 ,13863 
9/3/2018,BJBR,2210 ,15066100 ,40200 ,122100 ,731400 ,737700 ,13863 
9/3/2018,BJTM,705 ,2920200 ,2960700 ,2235600 ,1009900 ,900000 ,13863 
9/3/2018,BKDP,81 ,0 ,1100 ,46200 ,0 ,0 ,13863 
9/3/2018,BKSL,212 ,223573000 ,2109500 ,27041800 ,19418500 ,53124700 ,13863 
9/3/2018,BKSW,226 ,200 ,27100 ,4000 ,0 ,0 ,13863 
9/3/2018,BLTA,196 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,BLTZ,9475 ,200 ,600 ,600 ,0 ,0 ,13863 
