Tanggal,Stock Code,Close,Volume,Offer Volume,Bid Volume,Foreign Sell,Foreign Buy,Kurs
16,AALI,12975 ,1641400 ,200 ,75100 ,793400 ,468100 ,13834 
16,ABBA,50 ,16895800 ,654100 ,0 ,0 ,0 ,13834 
16,ABDA,7500 ,0 ,4000 ,0 ,0 ,0 ,13834 
16,ABMM,2150 ,0 ,11000 ,100 ,0 ,0 ,13834 
16,ACES,1350 ,12106300 ,6060000 ,1048400 ,11090400 ,2530700 ,13834 
16,ACST,2930 ,2056700 ,235400 ,32400 ,44000 ,1000000 ,13834 
16,ADES,920 ,2700 ,900 ,3100 ,0 ,0 ,13834 
16,ADHI,2120 ,6254200 ,229200 ,267600 ,1143000 ,221400 ,13834 
16,ADMF,9150 ,16000 ,14700 ,900 ,0 ,0 ,13834 
16,ADMG,280 ,1470300 ,10000 ,245000 ,0 ,0 ,13834 
16,ADRO,2040 ,110602400 ,3766500 ,794800 ,51260200 ,51853400 ,13834 
16,AGII,760 ,36200 ,23700 ,13000 ,0 ,0 ,13834 
16,AGRO,470 ,11481000 ,102100 ,54100 ,405700 ,0 ,13834 
16,AGRS,630 ,306700 ,10300 ,3100 ,100 ,2000 ,13834 
16,AHAP,165 ,0 ,1000 ,20000 ,0 ,0 ,13834 
16,AIMS,324 ,23400 ,3600 ,700 ,0 ,0 ,13834 
16,AISA,640 ,229885900 ,4993600 ,6227300 ,68029700 ,55331700 ,13834 
16,AKKU,52 ,5126000 ,1940100 ,183700 ,0 ,0 ,13834 
16,AKPI,700 ,200 ,1000 ,800 ,0 ,0 ,13834 
16,AKRA,5775 ,7836700 ,301100 ,491500 ,5714300 ,4654700 ,13834 
16,AKSI,310 ,500 ,100 ,2000 ,0 ,0 ,13834 
16,ALDO,680 ,0 ,100 ,3000 ,0 ,0 ,13834 
16,ALKA,468 ,26500 ,500 ,900 ,0 ,0 ,13834 
16,ALMI,218 ,1500 ,100 ,22000 ,0 ,0 ,13834 
16,ALTO,368 ,8178500 ,3100 ,2000 ,5000 ,0 ,13834 
16,AMAG,368 ,100 ,900 ,3000 ,0 ,0 ,13834 
16,AMFG,5400 ,0 ,200500 ,600 ,0 ,0 ,13834 
16,AMIN,376 ,0 ,10500 ,20000 ,0 ,0 ,13834 
16,AMRT,585 ,191400 ,31400 ,2500 ,178000 ,0 ,13834 
16,ANJT,1230 ,230400 ,200 ,600 ,0 ,0 ,13834 
16,ANTM,845 ,24534400 ,826500 ,136800 ,7183900 ,4193400 ,13834 
16,APEX,1780 ,85800 ,500 ,0 ,0 ,0 ,13834 
16,APIC,520 ,67700 ,239700 ,171500 ,0 ,0 ,13834 
16,APII,204 ,1000 ,1900 ,100 ,0 ,0 ,13834 
16,APLI,105 ,380500 ,185100 ,70500 ,0 ,0 ,13834 
16,APLN,214 ,15213900 ,25000 ,4273900 ,4532700 ,524600 ,13834 
16,APOL,58 ,0 ,0 ,0 ,0 ,0 ,13834 
16,ARGO,825 ,0 ,0 ,50000 ,0 ,0 ,13834 
16,ARII,1220 ,235200 ,114000 ,500 ,1400 ,0 ,13834 
16,ARMY,374 ,566500 ,31800 ,66300 ,0 ,0 ,13834 
16,ARNA,328 ,276800 ,5400 ,45600 ,0 ,0 ,13834 
16,ARTA,278 ,7400 ,1500 ,3600 ,0 ,0 ,13834 
16,ARTI,50 ,505500 ,100631500 ,0 ,0 ,0 ,13834 
